State,City,,Population1,"Violent 
crime",Murder,Rape2,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
,,2019,,205 ,5 ,22 ,69 ,109 ,"2,064 ",273 ,"1,589 ",202 ,5 
,JACKSONVILLE,2018,"903,213 ","2,766 ",55 ,289 ,674 ,"1,748 ","15,404 ","2,458 ","11,465 ","1,481 ",45 
,,2019,,"3,070 ",62 ,250 ,605 ,"2,153 ","14,132 ","2,186 ","10,706 ","1,240 ",33 
,LAKELAND,2018,"109,616 ",159 ,3 ,45 ,32 ,79 ,"1,834 ",278 ,"1,465 ",91 ,0 
,,2019,,186 ,3 ,32 ,51 ,100 ,"1,484 ",198 ,"1,180 ",106 ,6 
,MIAMI,2018,"473,047 ","1,419 ",27 ,56 ,396 ,940 ,"8,439 ","1,091 ","6,517 ",831 ,30 
,,2019,,"1,443 ",27 ,67 ,400 ,949 ,"8,772 ",871 ,"7,086 ",815 ,22 
,MIAMI GARDENS,2018,"114,670 ",437 ,12 ,8 ,116 ,301 ,"2,149 ",251 ,"1,694 ",204 ,8 
,,2019,,403 ,17 ,9 ,114 ,263 ,"2,283 ",197 ,"1,855 ",231 ,7 
,MIRAMAR,2018,"143,103 ",163 ,3 ,15 ,47 ,98 ,"1,043 ",106 ,792 ,145 ,2 
,,2019,,147 ,2 ,17 ,35 ,93 ,"1,020 ",113 ,779 ,128 ,2 
,ORLANDO,2018,"286,679 ","1,059 ",22 ,83 ,313 ,641 ,"6,688 ",776 ,"5,351 ",561 ,4 
,,2019,,"1,016 ",10 ,109 ,236 ,661 ,"6,381 ",783 ,"4,996 ",602 ,7 
,PALM BAY,2018,"112,902 ",216 ,2 ,35 ,19 ,160 ,"1,129 ",226 ,835 ,68 ,3 
,,2019,,195 ,1 ,37 ,27 ,130 ,"1,043 ",178 ,788 ,77 ,3 
,PEMBROKE PINES,2018,"173,053 ",157 ,1 ,14 ,31 ,111 ,"1,616 ",123 ,"1,372 ",121 ,2 
,,2019,,179 ,5 ,20 ,31 ,123 ,"1,635 ",107 ,"1,394 ",134 ,1 
,POMPANO BEACH,2018,"112,045 ",430 ,1 ,47 ,139 ,243 ,"2,187 ",303 ,"1,588 ",296 ,2 
,,2019,,428 ,5 ,40 ,155 ,228 ,"2,024 ",250 ,"1,508 ",266 ,3 
,PORT ST. LUCIE,2018,"193,137 ",100 ,2 ,16 ,16 ,66 ,900 ,146 ,717 ,37 ,4 
,,2019,,144 ,2 ,24 ,20 ,98 ,846 ,96 ,705 ,45 ,2 
,ST. PETERSBURG,2018,"265,942 ",760 ,12 ,65 ,187 ,496 ,"4,332 ",612 ,"3,337 ",383 ,22 
